"order_month","total_orders","monthly_revenue","avg_order_value"
"2024-01",334,190859.32,190859.32
"2024-02",294,146638.7,146638.7
"2024-03",426,269139.06,269139.06
"2024-04",380,207221.12,207221.12
"2024-05",338,230499.04,230499.04
"2024-06",382,253100.58,253100.58
"2024-07",372,217270.32,217270.32
"2024-08",380,183031.52,183031.52
"2024-09",336,192177.9,192177.9
"2024-10",370,227594.84,227594.84
"2024-11",328,197659.32,197659.32
"2024-12",330,218295.34,218295.34
"2025-01",334,169065.12,169065.12
"2025-02",340,219221.42,219221.42
"2025-03",330,163492.26,163492.26
"2025-04",362,229531.3,229531.3
"2025-05",374,253818.82,253818.82
"2025-06",390,232326.98,232326.98
"2025-07",344,223853.02,223853.02
"2025-08",384,218874.94,218874.94
"2025-09",362,231485.58,231485.58
"2025-10",370,222987.42,222987.42
"2025-11",182,141281.24,141281.24
